Neighborhood,Latitude,Longitude
Appa Balwant Chowk,18.516483671884753,73.85387026191101
"Aundh, Pune",18.563450000000046,73.81227000000007
Balewadi,18.576020000000028,73.77983000000006
Baner,18.548200000000065,73.77316000000008
Bavdhan,18.50747000000007,73.78236000000004
"Bhavani Peth, Pune",18.509030000000052,73.87317000000007
Blue Ridge Town Pune,18.581195470303804,73.98545859716548
"Budhwar Peth, Pune",18.516890000000046,73.85617000000008
"Chakan, Pune",18.51244931570263,73.85657158825195
Dapodi,18.494410000000073,74.39857000000006
Deccan Gymkhana,18.515850000000057,73.84061000000008
Dhankawadi,18.46628000000004,73.85325000000006
Dhayari,18.447020000000066,73.80757000000006
Erandwane,18.509650000000022,73.83124000000004
Fatimanagar,18.505840000000035,73.90232000000003
"Ganesh Peth, Pune",18.515690000000063,73.86436000000003
"Ghorpade Peth, Pune",18.503460000000075,73.86432000000008
"Guruwar Peth, Pune",18.50577000000004,73.86142000000007
Hadapsar,18.502530000000036,73.92706000000004
Hinjawadi,18.591420000000028,73.73895000000005
Kalyani Nagar,18.54645000000005,73.90067000000005
"Kasba Peth, Pune",18.52305000000007,73.85825000000006
Kharadi,18.544620000000066,73.93922000000003
Koregaon Park,18.535330000000044,73.89382000000006
Kothrud,18.505170000000078,73.80245000000008
"Maan, Pune",18.509270000000072,73.93251000000004
Magarpatta,18.52458000000007,73.86465000000004
"Mangalwar Peth, Pune",18.558740000000057,73.98737000000006
Manjri,18.598790000000065,73.73511000000008
Marunji,18.53983000000005,73.83346000000006
Megapolis Pune,18.494800000000055,73.86229000000003
Mukund Nagar,18.515690000000063,73.86436000000003
"Nana Peth, Pune",18.459920000000068,73.79015000000004
"Nanded City, Pune",18.515300000000025,73.84939000000003
"Narayan Peth, Pune",18.50741000000005,73.84409000000005
"Navi Peth, Pune",18.536740000000066,73.79290000000003
Pashan,18.524590000000046,73.87878000000006
Pune Camp,18.511120000000062,73.85150000000004
"Rasta Peth, Pune",18.518570000000068,73.85360000000003
"Raviwar Peth, Pune",18.537230000000022,73.83808000000005
"Sadashiv Peth, Pune",18.50395000000003,73.85810000000004
"Shaniwar Peth, Pune",18.520310000000052,73.86768000000006
"Shivajinagar, Pune",18.46321000000006,73.82214000000005
"Shukrawar Peth, Pune",18.546700000000044,73.75113000000005
"Somwar Peth, Pune",18.499310000000037,73.85840000000007
Sopan Baug,18.467280000000073,73.82473000000005
"Sus, Pune",18.56520000000006,73.91391000000004
Swargate,18.555330000000026,73.87492000000003
Vadgaon Budruk,18.60405000000003,73.75029000000006
Vimannagar,18.09534000000002,74.28682000000003
Vishrantwadi,18.472110000000043,73.80213000000003
Wakad,18.569060000000036,73.88159000000007
Wanwadi,18.647430000000043,73.80002000000007
Warje,18.34710000000007,74.20510000000007
Yerawada,18.638730000000066,73.83748000000008
Chinchwad,18.394240000000025,74.05088000000006
Pimpri,18.659230000000036,73.77129000000008
Bhosari,18.589000000000055,73.81815000000006
Kalewadi,18.59854000000007,73.80024000000003
Nigdi,18.630900000000054,73.73780000000005
Pimple Gurav,18.604660000000024,73.78725000000003
Pimple Saudagar,18.525730000000067,73.85528000000005
Punawale,18.58277000000004,73.98596000000003
Rahatani,18.62548000000004,73.75069000000008
"Sangvi, Pune",18.614490000000046,73.77386000000007
